feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21
0.853060838,0.991827741,0.350143145,0.654192406,0.909092553,0.862608674,0.463146993,0.911226539,0.406166735,0.415223544,0.334348323,0.925065392,0.913353401,0.653511703,0.962262299,0.951629574,0.88671423,0.35252236,0.108801509,0.945558219,0.007984415
0.966090689,0.725498195,0.560993792,0.951211031,0.135137891,0.932749414,0.711090191,0.76211325,0.021479573,0.983597808,0.902724639,0.784350853,0.456815765,0.823934274,0.225813938,0.391988053,0.058690982,0.431276824,0.403833708,0.130559864,0.922161125
0.8102244,0.389077972,0.263294672,0.125304505,0.482722242,0.182143953,0.590933373,0.853296442,0.213103667,0.165800415,0.370690223,0.711412761,0.946470011,0.26057473,0.757511293,0.769617369,0.473157209,0.411123176,0.958092959,0.385117134,0.240545607
0.242544803,0.930954959,0.553268898,0.54334169,0.130096152,0.862469221,0.982298424,0.396792306,0.81327205,0.550735529,0.920696333,0.906435013,0.38064013,0.439768087,0.689768493,0.793589213,0.289476253,0.980921808,0.307403081,0.25170332,0.938766692
0.116848304,0.097878982,0.021589446,0.275826442,0.91122485,0.082385806,0.020275449,0.133654947,0.124748089,0.119932884,0.137114979,0.113869842,0.964151691,0.095757247,0.763536894,0.842658786,0.966073671,0.06584644,0.021992226,0.986930515,0.307394463
0.34472486,0.939630149,0.998761823,0.367786448,0.155677098,0.204604692,0.913006801,0.276044293,0.828145605,0.701263032,0.764090339,0.885966435,0.476196136,0.274459525,0.714244148,0.643917751,0.30265287,0.981734813,0.068121598,0.169729131,0.790661436
0.886802654,0.243148519,0.092912921,0.163212454,0.55890262,0.251035116,0.170545969,0.852084213,0.064774441,0.092444244,0.283058196,0.422267461,0.852870695,0.166676985,0.935538831,0.951767661,0.502943036,0.32365862,0.803812789,0.663831068,0.403875813
0.81742915,0.700472364,0.470364021,0.058464597,0.621829714,0.101647982,0.244607035,0.965923101,0.286882677,0.923536074,0.960084968,0.372176426,0.306409553,0.017705814,0.707747078,0.865563071,0.597507243,0.539901713,0.786521434,0.401706253,0.686846159
0.705118328,0.786276911,0.731215649,0.292616419,0.369658968,0.542408245,0.798345128,0.382633724,0.377043155,0.722049045,0.96979696,0.858436311,0.371891721,0.604847923,0.539013605,0.73877727,0.361063517,0.914435041,0.39559513,0.506948988,0.86665575
0.592183621,0.030474726,0.009758346,0.74461326,0.00834332,0.7844923,0.913772623,0.639624419,0.961254665,0.153226099,0.195446578,0.868003368,0.235540323,0.933510619,0.048934866,0.084487305,0.006563448,0.084532875,0.412057604,0.037197975,0.207582982
0.401283673,0.131255881,0.227277417,0.092915655,0.443343054,0.180403416,0.340055734,0.321491195,0.197423934,0.903450196,0.853413539,0.136826076,0.54282898,0.043090016,0.482330201,0.4877169,0.195999902,0.240484561,0.929883022,0.257797496,0.718575803
0.097538501,0.907159787,0.959650322,0.815023418,0.508133396,0.804839812,0.907259629,0.122902028,0.95607018,0.881819552,0.712805618,0.66850984,0.863570987,0.782361695,0.711151449,0.553161276,0.375033679,0.860180801,0.002374542,0.333343798,0.195955953
0.584341285,0.433517984,0.31746985,0.263256155,0.34476402,0.393805339,0.314516006,0.717547163,0.388741936,0.403413836,0.863471309,0.35070112,0.719814096,0.12555785,0.766474427,0.836079869,0.394997902,0.401120674,0.574215161,0.51518019,0.782438882
0.373957353,0.1592899,0.286374679,0.295643587,0.399188883,0.172255418,0.207084075,0.423730311,0.266940322,0.165808598,0.117768682,0.262174963,0.682476895,0.166676985,0.819604893,0.810775274,0.478563709,0.117811975,0.450635734,0.255823352,0.211577093
0.116849151,0.647444368,0.414191165,0.911735434,0.090038899,0.64288999,0.878098485,0.185325145,0.820107238,0.890447359,0.998409964,0.624958475,0.275278574,0.91362201,0.178126249,0.427885988,0.000659189,0.663029686,0.318154873,0.01035421,0.974203305
0.798763633,0.601213983,0.715499928,0.580969918,0.304351411,0.982042587,0.549606119,0.628522381,0.357799762,0.285689068,0.402591407,0.663505297,0.010871535,0.619929974,0.138589267,0.155904192,0.302408188,0.868415899,0.280509918,0.273675305,0.886235353
0.780031265,0.601272981,0.80507525,0.61960203,0.785673096,0.552629618,0.04952275,0.915331423,0.755301088,0.981334971,0.615077369,0.009021515,0.753120658,0.554828867,0.573281589,0.351754296,0.734264686,0.792257692,0.964324603,0.51518019,0.583558279
0.095902159,0.29838729,0.72155248,0.842214988,0.868504653,0.921280604,0.714832121,0.236037172,0.874237812,0.792416685,0.861795139,0.17217689,0.943520411,0.803824627,0.819434298,0.548180668,0.527483577,0.577876964,0.619214005,0.239748294,0.712227702
0.964079758,0.196635955,0.079784257,0.945719471,0.317480579,0.274561384,0.26009752,0.96697413,0.096777386,0.407375221,0.370690223,0.248504928,0.367726488,0.388663677,0.225813938,0.325416768,0.28224559,0.041064713,0.816151689,0.548455916,0.260103418
1,0.650223761,0.133949842,0.100273081,0.185076632,0.612897634,0.149010219,0.98008009,0.064774441,0.04406481,0.036303448,0.315473729,0.31718634,0.145056782,0.651090964,0.757644131,0.218683933,0.363203818,0.838908575,0.224214554,0.122800828
0.271198999,0.935472279,0.247936504,0.097883921,0.909092553,0.043421864,0.482161459,0.245449754,0.294114852,0.487430464,0.525763506,0.053530454,0.148728581,0.282787758,0.345798078,0.373379415,0.633580687,0.296954184,0.991517148,0.76006576,0.114869026
0.46840328,0.919260183,0.693475992,0.18263628,0.919618223,0.360660497,0.628388052,0.552419534,0.594202939,0.548138142,0.526067423,0.889281997,0.710690571,0.397979616,0.6697485,0.424946552,0.866035655,0.710421461,0.994778662,0.69360905,0.340915491
0.373957353,0.176836408,0.297264409,0.812023645,0.974645695,0.8357205,0.765593146,0.295069643,0.746072143,0.646935666,0.579872249,0.814444337,0.962116236,0.905892406,0.952882245,0.944328309,0.749648378,0.307784237,0.347324318,0.773541413,0.464081598
0.504456573,0.774108181,0.640355971,0.474016229,0.009977058,0.534031693,0.814518453,0.491389805,0.611313339,0.912880276,0.999343457,0.822337106,0.395363084,0.691552046,0.561270274,0.757615241,0.004031176,0.907937174,0.521298569,0.041510635,0.94428443
0.502431674,0.858793022,0.522325591,0.823465175,0.366063848,0.768316504,0.820237727,0.400980294,0.712091552,0.432194604,0.701106783,0.788177467,0.541465684,0.942060159,0.853121089,0.882950551,0.705435157,0.618900194,0.270371795,0.82564117,0.769210532
